Belly | noun | vol.1 | pikmin | kyt's papa | Belly is worried about his cholesterol.
I mean I guess | phrase | vol.2 | jyu | I mean I guess this is a good definition | kyt: "thoughts?" jyu: "i mean i guess"
I knew it | phrase | vol.1 | everyone | Everyone knew but Kailey | Kailey: "I have an announcement." Everyone: "I knew it."
I mean it | verb | vol.1 | kyt | Doug is serious about it | You're smart. I mean it.
Jaden | noun/adjective | vol.1 | cse ta | Our favorite lil dude(s) | I just saw a jaden.
Just so you know | phrase | vol.1 | lilipoo | Typically said when they did something first | Just so you know I held Kailey's hand first.
Ladybug | noun | vol.2 | kyt | kyt's bike helmet named after its bright red color | kyt looks like a ladybug hoho
Let go anytime | phrase | vol.2 | jyu | said during a hug to inform kyt she can let go anytime | *hug* jyu: "let go anytime" 
Maji (まじ) | interjection | vol.0 | nihonjins | What nihonjins say when they're in disbelief | Kailey: "Berry is coming back." Justin: "え?! まじ?"
Mile 1 | phrase | vol.2 | tiktok | what tiktok running influencers say after each mile | dougs running *beep* "mile 1 9:32"
Mode | adjective | vol.2 | jyu | thing you say after every sentence mode | doug: "morning run mode?" doug: "ok mode"
Moneymaker | noun | vol.1 | jyu | The person making $500000 a month | ほほ you're the moneymaker.
My pp is hard | verb | vol.1 | kyt | Kailey monthly | Shucks my pp is hard.
M^2 | noun | vol.1 | jyu | Money maker Kailey | You're the moneymaker which means you're m^2.
M^3 | noun | vol.1 | kyt | Money maker doug | No you work at meta which means you're the meta money maker which means you're m^3.
Nanka | adverb | vol.2 | kyt | nihongo word what doug doesn't know | doug: "nanka embarrassing" doug: "what did you say"
Nanda | interjection | vol.0 | tou fam | Expressing confusion, frustration, or annoyance | Lydia is busy like always. Nanda dude.
Nicolino | noun | vol.2 | kyt | Italian restaurant that served kyt raw salmon | doug: "you want italian food?" doug: "nicolino mode round 2" 
Nooo (ノーー) | interjection | vol.0 | kyt | noooo said in lowercase | え?! You're leaving? ノーー
OK BYE | interjection | vol.1 | yjt | Bulli's usual way of saying bye | Doug: "We're gonna go drive to plant flowers."  Yjt: "OK BYE."
Old Berry | noun | vol.1 | kyt | Kailey's grandma aka berry's mom | Old berry doesn't want to go a smelly nursing home.
Once again I failed to deliver | phrase | vol.1 | jyu | Used after doug disappoints doug | Oh your emotional. gomen once again i failed to deliver.
Ooo (おおお) | interjection | vol.0 | nihionjins | what nihonjins say to something impressive | Doug ran a marathon. おおお
Oxford | adjective | vol.2 | said after seeing it in public | doug: *glaces over* doug: "oxford"
Peepeepoopoo | noun | vol.1 | poopoopeepee | The best team name | Team... peepeepoopoo?!
Pee | suffix | vol.1 | kyt | Added to the end of names to describe smelly people | Shucks I to meet xanderipee.
Poo | suffix | vol.1 | jyu | Added to the end of names to describe besties | How's zachypoo doing?
Pics of the day (ピックス　オブ　ザ　デー) | phrase | vol.1 | kyt | Sent before going to bed to doug showcasing what doug did that day | ピックス　オブ　ザ　デー: 1. ...
PP | noun | vol.1 | poopoo | Something that we both have | I have a small pp.
Pre-diabetic | adjective | vol.1 | kyt | High blood sugar but not hi-high | Doug I cant eat that I'm pre-diabetic.
Prodigy | noun | vol.1 | jyu | Kailey Yuka Tou who is exceptionally talented since birth and excels at everything. | Kailey: "You're smart." Justin: "You're a genius and a prodigy."
Proud of you | phrase | vol.2 | jyu | jyu is proud of yjt everyday bc she is a prodigy and deserve it | doug after run: "proud of you"
Rainbow Goldfish | noun | vol.1 | kyt | used to describe someone is rainbow like | doug: "omg rainbow goldfish" doug: "omg thats simon"
Rishi | noun | vol.1 | cse ta | our bestie but used to describe rishi's | Is that bestie rishi?
Sal Khan | noun | vol.2 | khan academy | jyu's first road bike named after Sal Khan from khan academy due to Slate color | sal khan misses sazed
Santa | noun | vol.2 | yjt | sazed reborn after getting hit from scooter girl and only replacing frame (canyon so smelly) | kyt: "where is the fork???" yjt: "its santa now hoho" 
Sazed | noun | vol.2 | mistborn | kyt's first road bike named after best character from mistborn series due to silver color | roy: "why would you name it sazed?" kyt: "sazed is dead" 
Shucks | interjection | vol.1 | kyt | Word used in place of curse words by doug | I have work tomorrow? shucks.
Shuckster | noun | vol.1 | jyu | Clown aka doug | Sup shuckster.
Smelly country | noun | vol.1 | kyt | United States of America | Shucks I'm going back to the smelly country.
So indebted | adjective | vol.1 | jyu | Expression used by Justin who owes so much to Kailey | Justin: "I can't accept this im already sooo indebted."
So plump | adjective | vol.1 | kyt | Doug's butt | *Gropes doug's butt* omg so plump!
Soso (そそ) | interjection | vol.0 | nihonjins | What nihonjins say when they agree | そそ kailey is distinguished.
Spit it out Erick | verb | vol.0 | youtube | Erick did badly on his test and mother was not happy | Mother: "WHAT B+ IN ENGLISH?! WHY?! SPIT IT OUT ERICK."
Teme (てめえ) | noun | vol.0 | weebs | weeb slang for you | doug: や！てめえ　くさい!
That thing | noun | vol.1 | kyt | It | I can't believe that thing touched me. It. 
That was all you | phrase | vol.1 | jyu | Doug doing all the work | Doug: "Good work doug all you!" Doug: "No that was actually all you."
Thick rope | noun | vol.0 | belly | Something belly wants as he's getting older | Once berry is gone get me a thick rope
Thoughts? | interjection | vol.0 | emt | Used when asking doug about their opinion | Want to get asian food? Thoughts?
Unc | noun | vol.2 | emt | What emt said to jyu for christmas gift | emt: "unc unggggggggggggg"
Uncle yifeng | noun | vol.2 | jyu | jyu's first manager aka uncle | uncle yifeng is crashing out
Vinay | noun | vol.1 | cse ta | Former classmate of jyu who was actually a rapper | Vinay: "so today for loops alshdfoaeno haoe abebfo befbeobfaob ansdfoane owerbfo coaw..."
Wait... | interjection | vol.1 | angiepoo | Said by angiepoo when we she learned about jyu and kyt | wait... that means he was there?!
Wáit?! | verb | vol.1 | kyt | You were there?! | Justin: "I volunteered at salmon days every-" Kailey: "Wait?! You were there?!"
We need to gooo | phrase | vol.1 | jyu | Used when the shucksters should get out of bed | *12:00* we need to goooooo.
Weeb | noun | vol.0 | doug | Used to describe doug and smelly people infatuated by anime | Doug: "Want to watch anime?" Doug: "What did you say weeb?"
What's the fit? | phrase | vol.1 | jyu | Used when doug and doug want matching bestie outfits | What's the fit on Saturday doug?
What a great trip | phrase | vol.2 | kyt | Said after a great experience or time | dougs walking out of disney: "what a great trip"
What were we talking about? | phrase | vol.1 | doug | When the shucksters get off topic and forget what they were supposed to talk about | Wait?! What were we talking about?
Why are we whispering | phrase | vol.1 | kyt | Said after doug starts whispering out of nowhere. Usually at night. | Justin *in lowercase*: "I'm not sure because-" Kailey: "Why are we whispering?" 
Yeáh | interjection | vol.1 | prospective student | First seen when reading through student essay about the environment! | Student: "I want to protect the environment! Yeáh!"
You know what that means | phrase | vol.1 | kyt | Your smart/funny/moneymaker | *Doug does anything* え?! You know what that means. 
You mad right now? | phrase | vol.1 | doug | Said when doug slightly inconveniences doug in any way | Doug: "oh you don't like that?" Doug: "are you mad right now?"
You smell like christmas | phrase | vol.1 | kyt | jyu's deoderant | *sniffs* you smell like christmas
You copied me | verb | vol.1 | kyt | Said when doug copies doug | え?! You're getting that too? You copied me.
Your head is hard | phrase | vol.1 | kyt | You know what that means | Ouch* your head is hard.
You're calling it? | phrase | vol.1 | jyu | Said during the end of calls to see who ends it | *6:30 am* *yawns* oh you're calling it??
You're famished | adjective | vol.1 | bellies | skinny frail and not eating enough | You need to eat more, you're famished.
You're funny | adjective | vol.1 | jyu | Used to describe the amusing, humorous, hilarious Kailey | ほほ good one. You're funny.
You're smart | adjective | vol.1 | jyu | Used to describe the intelligent, genius, prodigy Kailey | おまいが すごい that means you're smart
2/7 | noun/verb | vol.1 | jyu | The day jyu got emotional | Are you 2/7ing right now?
5/24 | noun | vol.1 | jyu | The day jyu confessed to kyt | Kailey: "Okay I'm ready to go." Justin: "Wait... I have something to tell you."
6/7 | noun | vol.1 | kyt | Kyt's response to jyu | Justin: "Okay bye bye." Kailey: "Wait... My response."
